Gene stable ID	Transcript stable ID	Gene name	UniProtKB/Swiss-Prot ID
ENSG00000174343	ENST00000310169	Q9UGM1	CHRNA9
ENSG00000168412	ENST00000307161	P48039	MTNR1A
ENSG00000080493	ENST00000264485	Q9Y6R1	SLC4A4
ENSG00000131620	ENST00000355303	Q5XXA6	ANO1
ENSG00000154654	ENST00000400546	O15394	NCAM2
ENSG00000120675	ENST00000379221	Q9Y5T4	DNAJC15
ENSG00000154645	ENST00000299295	Q9H9P2	CHODL
ENSG00000150893	ENST00000280481	Q5SZK8	FREM2
ENSG00000136158	ENST00000377104	O43597	SPRY2
ENSG00000132874	ENST00000255226	Q15849	SLC14A2
ENSG00000133115	ENST00000379631	Q8TAV4	STOML3
ENSG00000100346	ENST00000402142	Q9P0X4	CACNA1I
ENSG00000102539	ENST00000218721	O43193	MLNR
ENSG00000089012	ENST00000303415	Q9P1W8	SIRPG
ENSG00000141437	ENST00000269205	Q3SY17	SLC25A52
ENSG00000081138	ENST00000397968	Q9ULB5	CDH7
ENSG00000133107	ENST00000379705	Q9UBN4	TRPC4
ENSG00000071991	ENST00000262150	Q9H159	CDH19
ENSG00000141424	ENST00000269187	Q13433	SLC39A6
ENSG00000130943	ENST00000253255	Q9NTG1	PKDREJ
ENSG00000138944	ENST00000381176	Q3SXP7	SHISAL1
ENSG00000134490	ENST00000383233	Q24JQ0	TMEM241
ENSG00000128203	ENST00000215906	Q6ICH7	ASPHD2
ENSG00000125247	ENST00000342624	Q5T4D3	TMTC4
ENSG00000080189	ENST00000372230	Q9NQQ7	SLC35C2
ENSG00000133106	ENST00000313624	Q96J88	EPSTI1
ENSG00000142178	ENST00000270162	P57059	SIK1
ENSG00000139679	ENST00000620633	P43657	LPAR6
ENSG00000124212	ENST00000244043	Q16647	PTGIS
ENSG00000121743	ENST00000241125	Q9Y6H8	GJA3
ENSG00000121742	ENST00000647029	O95452	GJB6
ENSG00000101194	ENST00000370351	Q9BYT1	SLC17A9
ENSG00000078043	ENST00000585916	O75928	PIAS2
ENSG00000104044	ENST00000354638	Q04671	OCA2
ENSG00000134757	ENST00000257189	P32926	DSG3
ENSG00000125245	ENST00000397470	Q14330	GPR18
ENSG00000100731	ENST00000304743	Q96RV3	PCNX1
ENSG00000153495	ENST00000283547	Q8N6K0	TEX29
ENSG00000138613	ENST00000261879	Q8WW43	APH1B
ENSG00000140015	ENST00000322893	Q8NCM2	KCNH5
ENSG00000075240	ENST00000406902	Q6IC98	GRAMD4
ENSG00000148482	ENST00000377369	Q504Y0	SLC39A12
ENSG00000125246	ENST00000339105	Q8N0X4	CLYBL
ENSG00000074410	ENST00000178638	O43570	CA12
ENSG00000131634	ENST00000566264	Q9BSN7	TMEM204
ENSG00000033170	ENST00000673929	Q9BYC5	FUT8
ENSG00000131080	ENST00000374719	Q9HAV5	EDA2R
ENSG00000091490	ENST00000399878	Q68CR1	SEL1L3
ENSG00000137809	ENST00000315757	Q9UKX5	ITGA11
ENSG00000120594	ENST00000377252	Q6UX71	PLXDC2
ENSG00000074696	ENST00000261875	Q9P035	HACD3
ENSG00000136891	ENST00000374902	Q9NXF1	TEX10
ENSG00000095209	ENST00000374692	Q9NVV0	TMEM38B
ENSG00000145244	ENST00000273857	Q9Y5Q5	CORIN
ENSG00000131669	ENST00000375446	Q92982	NINJ1
ENSG00000139874	ENST00000267377	P30872	SSTR1
ENSG00000134419	ENST00000322989	P62244	RPS15A
ENSG00000139508	ENST00000266943	Q7Z3Q1	SLC46A3
ENSG00000040608	ENST00000043402	Q9BZR6	RTN4R
ENSG00000150048	ENST00000315330	Q8NC01	CLEC1A
ENSG00000070018	ENST00000261349	O75581	LRP6
ENSG00000101307	ENST00000381605	O00241	SIRPB1
ENSG00000125384	ENST00000245457	P43116	PTGER2
ENSG00000104331	ENST00000262644	Q9NX62	BPNT2
ENSG00000138119	ENST00000359263	Q9NZM1	MYOF
ENSG00000148123	ENST00000374874	Q8TBJ4	PLPPR1
ENSG00000140284	ENST00000267842	O14975	SLC27A2
ENSG00000147160	ENST00000276101	Q6E213	AWAT2
ENSG00000066455	ENST00000163416	Q8TBA6	GOLGA5
ENSG00000151490	ENST00000281171	Q16827	PTPRO
ENSG00000090776	ENST00000204961	P98172	EFNB1
ENSG00000054983	ENST00000261304	P54803	GALC
ENSG00000119537	ENST00000645214	Q06136	KDSR
ENSG00000100739	ENST00000216629	P46663	BDKRB1
ENSG00000104321	ENST00000262209	O75762	TRPA1
ENSG00000079112	ENST00000027335	Q12864	CDH17
ENSG00000100292	ENST00000216117	P09601	HMOX1
ENSG00000078596	ENST00000373298	O43736	ITM2A
ENSG00000112149	ENST00000379153	Q01151	CD83
ENSG00000138678	ENST00000264409	Q53EU6	GPAT3
ENSG00000148175	ENST00000286713	P27105	STOM
ENSG00000102471	ENST00000218652	Q9NV92	NDFIP2
ENSG00000124194	ENST00000342560	Q96MZ0	GDAP1L1
ENSG00000111261	ENST00000535902	Q9H8J5	MANSC1
ENSG00000102195	ENST00000218316	Q13585	GPR50
ENSG00000147255	ENST00000361420	Q8N6C5	IGSF1
ENSG00000134115	ENST00000446702	Q9UQ52	CNTN6
ENSG00000150394	ENST00000577390	P55286	CDH8
ENSG00000008394	ENST00000396210	P10620	MGST1
ENSG00000148468	ENST00000378116	Q5VUB5	FAM171A1
ENSG00000146233	ENST00000275016	Q9NYL5	CYP39A1
ENSG00000140506	ENST00000309664	Q9HAT1	LMAN1L
ENSG00000052749	ENST00000370992	Q5JTH9	RRP12
ENSG00000088832	ENST00000400137	P62942	FKBP1A
ENSG00000086205	ENST00000256999	Q04609	FOLH1
ENSG00000006007	ENST00000353258	Q9NZC3	GDE1
ENSG00000135220	ENST00000251566	Q6UWM9	UGT2A3
ENSG00000152034	ENST00000281806	Q969V1	MCHR2
ENSG00000101417	ENST00000409299	Q9Y6I8	PXMP4
ENSG00000103089	ENST00000219368	Q7L5A8	FA2H
ENSG00000118402	ENST00000369816	Q9GZR5	ELOVL4
ENSG00000151353	ENST00000281017	Q96B42	TMEM18
ENSG00000103047	ENST00000261778	Q9C0B7	TANGO6
